"Source ID","IMDb ID","Movie Name","Genre","Rating","Duration"
"TMDB","tt0167261","The Lord of the Rings: The Two Towers","Adventure, Fantasy, Action","PG-13","2H59M"
"Rotten Tomatoes","tt0167261","The Lord of the Rings: The Two Towers","Fantasy, Adventure","PG-13","2H59M"
"Allmovies.com","tt0167261","The Lord of the Rings: The Two Towers","Action-Adventure, Drama, Fantasy","PG-13","2H59M"
"justwatch.com","tt0167261","The Lord of the Rings: The Two Towers","Action & Adventure, Fantasy, Drama, Epic Fantasy","PG-13","2H59M"
"Metacritic","tt0167261","The Lord of the Rings: The Two Towers","Action, Adventure, Drama, Fantasy","TV-14","2H59M"
"OMDB","tt0137523","Fight Club","Drama","R","2H19M"
"TMDB","tt0137523","Fight Club","Drama","R","2H19M"
"Rotten Tomatoes","tt0137523","Fight Club","Mystery & Thriller, Drama","R","2H19M"
"Allmovies.com","tt0137523","Fight Club","Drama, Mystery-Suspense, Thriller","R","2H19M"
"justwatch.com","tt0137523","Fight Club","Drama, Psychological Drama","R","2H19M"
"Metacritic","tt0137523","Fight Club","Drama","TV-MA","2H19M"
"OMDB","tt1375666","Inception","Action, Adventure, Sci-Fi","PG-13","2H28M"
"TMDB","tt1375666","Inception","Action, Science Fiction, Adventure","PG-13","2H28M"
"Rotten Tomatoes","tt1375666","Inception","Sci-Fi, Mystery & Thriller, Action","PG-13","2H28M"
"Allmovies.com","tt1375666","Inception","Action-Adventure, Crime, Science Fiction, Thriller","PG-13","2H28M"
"justwatch.com","tt1375666","Inception","Action & Adventure, Science-Fiction, Mystery & Thriller, Cerebral, Action Thriller","PG-13","2H28M"
"Metacritic","tt1375666","Inception","Action, Adventure, Sci-Fi, Thriller","TV-14","2H28M"
"OMDB","tt0080684","Star Wars: Episode V - The Empire Strikes Back","Action, Adventure, Fantasy","PG","2H4M"
"TMDB","tt0080684","The Empire Strikes Back","Adventure, Action, Science Fiction","PG","2H4M"
"Rotten Tomatoes","tt0080684","Star Wars: Episode V - The Empire Strikes Back","Sci-Fi, Adventure, Action, Fantasy","PG","2H4M"
"Allmovies.com","tt0080684","Star Wars: Episode V - The Empire Strikes Back","Action-Adventure, Epic, Fantasy, Science Fiction","PG","2H4M"
"justwatch.com","tt0080684","The Empire Strikes Back","Action & Adventure, Science-Fiction, Fantasy, Space Opera","PG","2H4M"
"Metacritic","tt0080684","Star Wars: Episode V - The Empire Strikes Back","Action, Adventure, Fantasy, Sci-Fi","TV-PG","2H4M"
"OMDB","tt0133093","The Matrix","Action, Sci-Fi","R","2H16M"
"TMDB","tt0133093","The Matrix","Action, Science Fiction","R","2H16M"
"Rotten Tomatoes","tt0133093","The Matrix Resurrections","Sci-Fi, Action","R","2H28M"
"Allmovies.com","tt0133093","The Matrix","Action-Adventure, Crime, Science Fiction","R","2H16M"
"justwatch.com","tt0133093","The Matrix","Action & Adventure, Science-Fiction, Cerebral, Cyberpunk, Tech Noir","R","2H16M"
"Metacritic","tt0133093","The Matrix","Action, Sci-Fi","TV-14","2H16M"
"OMDB","tt0099685","Goodfellas","Biography, Crime, Drama","R","2H25M"
"TMDB","tt0099685","GoodFellas","Drama, Crime","R","2H25M"
"Rotten Tomatoes","tt0099685","Goodfellas","Crime, Drama","R","2H26M"
"Allmovies.com","tt0099685","Goodfellas","Biography, Crime, Drama","R","2H26M"
"justwatch.com","tt0099685","GoodFellas","Drama, Crime, Organized Crime","R","2H25M"
"Metacritic","tt0099685","Goodfellas","Biography, Crime, Drama","TV-MA","2H26M"
"OMDB","tt0073486","One Flew Over the Cuckoo's Nest","Drama","R","2H13M"
"TMDB","tt0073486","One Flew Over the Cuckoo's Nest","Drama","R","2H13M"
"Rotten Tomatoes","tt0073486","One Flew Over the Cuckoo's Nest","Drama","R","2H13M"
"Allmovies.com","tt0073486","One Flew Over the Cuckoo's Nest","Crime, Drama","R","2H13M"
"justwatch.com","tt0073486","One Flew Over the Cuckoo's Nest","Drama, Psychological Drama","R","2H13M"
"Metacritic","tt0073486","One Flew Over the Cuckoo's Nest","Drama","TV-14","2H13M"
"OMDB","tt0816692","Interstellar","Adventure, Drama, Sci-Fi","PG-13","2H49M"
"TMDB","tt0816692","Interstellar","Adventure, Drama, Science Fiction","PG-13","2H49M"
"Rotten Tomatoes","tt0816692","Interstellar","Sci-Fi, Adventure, Action","PG-13","2H45M"
"Allmovies.com","tt0816692","Interstellar","Action-Adventure, Drama, Science Fiction","PG-13","2H49M"
"justwatch.com","tt0816692","Interstellar","Drama, Science-Fiction, Action & Adventure, Sci-Fi Drama","N/A","2H49M"
"Metacritic","tt0816692","Interstellar","Adventure, Drama, Sci-Fi","TV-14","2H49M"
"OMDB","tt0114369","Se7en","Crime, Drama, Mystery","R","2H7M"
"TMDB","tt0114369","Se7en","Crime, Mystery, Thriller","R","2H7M"
"Rotten Tomatoes","tt0114369","Seven","Mystery & Thriller, Crime, Drama","R","2H5M"
"Allmovies.com","tt0114369","Se7en","Comedy Drama, Crime, Drama, Mystery-Suspense, Thriller","R","2H7M"
"justwatch.com","tt0114369","Se7en","Crime, Drama, Dark Crime, Mystery Thriller","R","2H7M"
"OMDB","tt0038650","It's a Wonderful Life","Drama, Family, Fantasy","PG","2H10M"
"TMDB","tt0038650","It's a Wonderful Life","Drama, Family, Fantasy","PG","2H10M"
"Rotten Tomatoes","tt0038650","It's a Wonderful Life","Holiday, Comedy, Drama","PG","2H9M"
"Allmovies.com","tt0038650","It's a Wonderful Life","Comedy, Drama, Family, Fantasy, Romance","PG","2H10M"
"justwatch.com","tt0038650","It's a Wonderful Life","Drama, Kids & Family, Fantasy, Romance, Holiday","PG","2H10M"
"Metacritic","tt0038650","It's a Wonderful Life","Drama, Family, Fantasy, Romance","TV-G","2H10M"
"OMDB","tt0047478","Seven Samurai","Action, Drama","Not Rated","3H27M"
"TMDB","tt0047478","Seven Samurai","Action, Drama","NR","3H27M"
"Rotten Tomatoes","tt0047478","Seven Samurai","Action","","3H28M"
"Allmovies.com","tt0047478","Seven Samurai","Action-Adventure, Drama, Epic, History","NR","3H27M"
"justwatch.com","tt0047478","Seven Samurai","Action & Adventure, Drama, Martial Art","N/A","3H27M"
"Metacritic","tt0047478","Seven Samurai","Action, Drama","Not Rated","3H27M"
"OMDB","tt0102926","The Silence of the Lambs","Crime, Drama, Thriller","R","1H58M"
"TMDB","tt0102926","The Silence of the Lambs","Crime, Drama, Thriller","R","1H59M"
"Rotten Tomatoes","tt0102926","The Silence of the Lambs","Mystery & Thriller, Crime, Drama","R","1H59M"
"Allmovies.com","tt0102926","The Silence of the Lambs","Comedy Drama, Crime, Drama, Thriller","R","1H59M"
"justwatch.com","tt0102926","The Silence of the Lambs","Mystery & Thriller, Crime, Drama, Dark Crime, Horror Thriller, Psychological Thriller","R","1H58M"
"Metacritic","tt0102926","The Silence of the Lambs","Crime, Drama, Thriller","TV-MA","1H58M"
"OMDB","tt0120815","Saving Private Ryan","Drama, War","R","2H49M"
"TMDB","tt0120815","Saving Private Ryan","Drama, History, War","R","2H49M"
"Rotten Tomatoes","tt0120815","Saving Private Ryan","War, History, Drama","R","2H49M"
"Allmovies.com","tt0120815","Saving Private Ryan","Action-Adventure, Drama, History, War","R","2H49M"
"justwatch.com","tt0120815","Saving Private Ryan","War & Military, Drama, History, War Drama, War Epics","R","2H49M"
"Metacritic","tt0120815","Saving Private Ryan","Drama, War","TV-MA","2H49M"
"OMDB","tt0317248","City of God","Crime, Drama","R","2H10M"
"TMDB","tt0317248","City of God","Drama, Crime","R","2H9M"
"Rotten Tomatoes","tt0317248","City of God","Crime, Drama","R","2H11M"
"Allmovies.com","tt0317248","City of God","Crime, Drama","R","2H10M"
"justwatch.com","tt0317248","City of God","Crime, Drama, Emotional Drama","R","2H9M"
"Metacritic","tt0317248","City of God","Crime, Drama","R","2H10M"
"OMDB","tt0118799","Life Is Beautiful","Comedy, Drama, Romance","PG-13","1H56M"
"TMDB","tt0118799","Life Is Beautiful","Comedy, Drama","PG-13","1H56M"
"Rotten Tomatoes","tt0118799","Life Is Beautiful","Comedy, Drama","PG-13","2H2M"
"Allmovies.com","tt0118799","Life Is Beautiful","Comedy, Drama, Romance, War","PG-13","1H56M"
"justwatch.com","tt0118799","Life Is Beautiful","Drama, Comedy, Made in Europe, Romance, War & Military, Dramedy","PG-13","1H56M"
"Metacritic","tt0118799","Life Is Beautiful","Comedy, Drama, Romance, War","PG-13","1H56M"
"OMDB","tt0120689","The Green Mile","Crime, Drama, Fantasy","R","3H9M"
"TMDB","tt0120689","The Green Mile","Fantasy, Drama, Crime","R","3H9M"
"Rotten Tomatoes","tt0120689","The Green Mile","Drama, Fantasy","R","3H9M"
"Allmovies.com","tt0120689","The Green Mile","Crime, Drama, Fantasy, Mystery-Suspense","R","3H9M"
"justwatch.com","tt0120689","The Green Mile","Drama, Crime, Fantasy, Emotional Drama","R","3H9M"
"Metacritic","tt0120689","The Green Mile","Crime, Drama, Fantasy, Mystery","TV-14","3H9M"
"OMDB","tt0103064","Terminator 2: Judgment Day","Action, Adventure, Sci-Fi","R","2H17M"
"TMDB","tt0103064","Terminator 2: Judgment Day","Action, Thriller, Science Fiction","R","2H17M"
"Rotten Tomatoes","tt0103064","Terminator 2: Judgment Day","Sci-Fi, Action, Mystery & Thriller","R","2H16M"
"Allmovies.com","tt0103064","Terminator 2: Judgment Day","Action-Adventure, Science Fiction, Thriller","R","2H17M"
"justwatch.com","tt0103064","Terminator 2: Judgment Day","Mystery & Thriller, Science-Fiction, Action & Adventure, Tech Noir","R","2H17M"
"Metacritic","tt0103064","Terminator 2: Judgment Day","Action, Adventure, Sci-Fi","TV-14","2H17M"
"OMDB","tt0076759","Star Wars: Episode IV - A New Hope","Action, Adventure, Fantasy","PG","2H1M"
