"IMDb ID","Movie Name","Genre","Rating","Duration"
"tt0091251","Come and See","Drama, Thriller, War","Not Rated","2H22M"
"tt0180093","Requiem for a Dream","Drama","NC-17","1H42M"
"tt0435761","Toy Story 3","Animation, Adventure, Comedy","G","1H43M"
"tt0086190","Star Wars: Episode VI - Return of the Jedi","Action, Adventure, Fantasy","PG","2H11M"
"tt2106476","The Hunt","Drama","R","1H55M"
"tt0338013","Eternal Sunshine of the Spotless Mind","Drama, Romance, Sci-Fi","R","1H48M"
"tt0062622","2001: A Space Odyssey","Adventure, Sci-Fi","G","2H29M"
"tt0044741","Ikiru","Drama","Not Rated","2H23M"
"tt0105236","Reservoir Dogs","Crime, Thriller","R","1H39M"
"tt0056172","Lawrence of Arabia","Adventure, Biography, Drama","PG","3H47M"
"tt0053604","The Apartment","Comedy, Drama, Romance","Approved","2H5M"
"tt1255953","Incendies","Drama, Mystery, War","R","2H11M"
"tt0086250","Scarface","Crime, Drama","R","2H50M"
"tt0053125","North by Northwest","Action, Adventure, Mystery","Approved","2H16M"
"tt0036775","Double Indemnity","Crime, Drama, Film-Noir","Approved","1H47M"
"tt0033467","Citizen Kane","Drama, Mystery","PG","1H59M"
"tt0022100","M","Crime, Mystery, Thriller","Passed","1H39M"
"tt15398776","Oppenheimer","Biography, Drama, History","R","3H"
"tt0052357","Vertigo","Mystery, Romance, Thriller","PG","2H8M"
"tt0113277","Heat","Action, Crime, Drama","R","2H50M"
"tt0093058","Full Metal Jacket","Drama, War","R","1H56M"
"tt0211915","Amélie","Comedy, Romance","R","2H2M"
"tt1049413","Up","Animation, Adventure, Comedy","PG","1H36M"
"tt0066921","A Clockwork Orange","Crime, Sci-Fi","R","2H16M"
"tt0056592","To Kill a Mockingbird","Crime, Drama","Approved","2H9M"
"tt1832382","A Separation","Drama","PG-13","2H3M"
"tt0070735","The Sting","Comedy, Crime, Drama","PG","2H9M"
"tt0095016","Die Hard","Action, Thriller","R","2H12M"
"tt0097576","Indiana Jones and the Last Crusade","Action, Adventure","PG-13","2H7M"
"tt0986264","Like Stars on Earth","Drama, Family","PG","2H42M"
"tt0017136","Metropolis","Drama, Sci-Fi","Not Rated","2H33M"
"tt0208092","Snatch","Comedy, Crime","R","1H42M"
"tt8579674","1917","Action, Drama, History","R","1H59M"
"tt0119488","L.A. Confidential","Crime, Drama, Mystery","R","2H18M"
"tt0040522","Bicycle Thieves","Drama","Not Rated","1H29M"
"tt0363163","Downfall","Biography, Drama, History","R","2H36M"
"tt8503618","Hamilton","Biography, Drama, History","PG-13","2H40M"
"tt0075314","Taxi Driver","Crime, Drama","R","1H54M"
"tt5074352","Dangal","Action, Biography, Drama","Not Rated","2H41M"
"tt0372784","Batman Begins","Action, Crime, Drama","PG-13","2H20M"
"tt0993846","The Wolf of Wall Street","Biography, Comedy, Crime","R","3H"
"tt0059578","For a Few Dollars More","Drama, Western","R","2H12M"
"tt6966692","Green Book","Biography, Comedy, Drama","PG-13","2H10M"
"tt0053291","Some Like It Hot","Comedy, Music, Romance","Approved","2H1M"
"tt0120382","The Truman Show","Comedy, Drama","PG","1H43M"
"tt0055031","Judgment at Nuremberg","Drama, War","Approved","2H59M"
"tt0012349","The Kid","Comedy, Drama, Family","Passed","1H8M"
"tt10272386","The Father","Drama, Mystery","PG-13","1H37M"
"tt0042192","All About Eve","Drama","Approved","2H18M"
"tt1130884","Shutter Island","Drama, Mystery, Thriller","R","2H18M"
"tt0469494","There Will Be Blood","Drama","R","2H38M"
"tt0107290","Jurassic Park","Action, Adventure, Sci-Fi","PG-13","2H7M"
"tt0112641","Casino","Crime, Drama","R","2H58M"
"tt1745960","Top Gun: Maverick","Action, Drama","PG-13","2H10M"
"tt0167404","The Sixth Sense","Drama, Mystery, Thriller","PG-13","1H47M"
"tt0089881","Ran","Action, Drama, War","R","2H40M"
"tt0457430","Pan's Labyrinth","Drama, Fantasy, War","R","1H58M"
"tt0105695","Unforgiven","Drama, Western","R","2H10M"
"tt0477348","No Country for Old Men","Crime, Drama, Thriller","R","2H2M"
"tt0084787","The Thing","Horror, Mystery, Sci-Fi","R","1H49M"
"tt0268978","A Beautiful Mind","Biography, Drama, Mystery","PG-13","2H15M"
"tt0266697","Kill Bill: Vol. 1","Action, Crime, Thriller","R","1H51M"
"tt0040897","The Treasure of the Sierra Madre","Adventure, Drama, Western","Approved","2H6M"
"tt0055630","Yojimbo","Action, Drama, Thriller","Not Rated","1H50M"
"tt0057115","The Great Escape","Adventure, Drama, Thriller","Approved","2H52M"
"tt0266543","Finding Nemo","Animation, Adventure, Comedy","G","1H40M"
"tt0071853","Monty Python and the Holy Grail","Adventure, Comedy, Fantasy","PG","1H31M"
"tt29623480","The Wild Robot","Animation, Sci-Fi","PG","1H42M"
"tt1392214","Prisoners","Crime, Drama, Mystery","R","2H33M"
"tt0347149","Howl's Moving Castle","Animation, Adventure, Family","PG","1H59M"
"tt0080678","The Elephant Man","Biography, Drama","PG","2H4M"
"tt0042876","Rashomon","Crime, Drama, Mystery","Not Rated","1H28M"
"tt0046912","Dial M for Murder","Crime, Thriller","PG","1H45M"
"tt0071315","Chinatown","Drama, Mystery, Thriller","R","2H10M"
"tt0031381","Gone with the Wind","Drama, Romance, War","G","3H58M"
"tt1305806","The Secret in Their Eyes","Drama, Mystery, Romance","R","2H9M"
"tt0120735","Lock, Stock and Two Smoking Barrels","Action, Comedy, Crime","R","1H47M"
"tt2096673","Inside Out","Animation, Adventure, Comedy","PG","1H35M"
"tt0434409","V for Vendetta","Action, Drama, Sci-Fi","R","2H12M"
"tt5027774","Three Billboards Outside Ebbing, Missouri","Comedy, Crime, Drama","R","1H55M"
"tt0081398","Raging Bull","Biography, Drama, Sport","R","2H9M"
"tt0117951","Trainspotting","Drama","R","1H33M"
"tt0050212","The Bridge on the River Kwai","Adventure, Drama, War","PG","2H41M"
"tt4729430","Klaus","Animation, Adventure, Comedy","PG","1H36M"
"tt0264464","Catch Me If You Can","Biography, Crime, Drama","PG-13","2H21M"
"tt0116282","Fargo","Crime, Thriller","R","1H38M"
"tt1291584","Warrior","Action, Drama, Sport","PG-13","2H20M"
"tt10872600","Spider-Man: No Way Home","Action, Adventure, Fantasy","PG-13","2H28M"
"tt1205489","Gran Torino","Drama","R","1H56M"
"tt1201607","Harry Potter and the Deathly Hallows: Part 2","Adventure, Family, Fantasy","PG-13","2H10M"
